id;name
RUS;Россия
RUS_CFO;Центральный федеральный округ
RUS_CFO_BEL;Белгородская область
RUS_CFO_BRJ;Брянская область
RUS_CFO_VLA;Владимирская область
RUS_CFO_VOR;Воронежская область
RUS_CFO_IVA;Ивановская область
RUS_CFO_KAL;Калужская область
RUS_CFO_KOS;Костромская область
RUS_CFO_KUR;Курская область
RUS_CFO_LIP;Липецкая область
RUS_CFO_MOO;Московская область
RUS_CFO_ORL;Орловская область
RUS_CFO_RIA;Рязанская область
RUS_CFO_SMO;Смоленская область
RUS_CFO_TAM;Тамбовская область
RUS_CFO_TVE;Тверская область
RUS_CFO_TUL;Тульская область
RUS_CFO_JAR;Ярославская область
RUS_CFO_MOG;Москва
RUS_SZO;Северо-Западный федеральный округ
RUS_SZO_KAR;Республика Карелия
RUS_SZO_KOM;Республика Коми
RUS_SZO_NAO;Ненецкий автономный округ
RUS_SZO_ARH;Архангельская область
RUS_SZO_VOL;Вологодская область
RUS_SZO_KAL;Калининградская область
RUS_SZO_LEN;Ленинградская область
RUS_SZO_MUR;Мурманская область
RUS_SZO_NOV;Новгородская область
RUS_SZO_PSK;Псковская область
RUS_SZO_SPB;Санкт-Петербург
RUS_YFO;Южный федеральный округ
RUS_YFO_ADY;Республика Адыгея
RUS_YFO_KAL;Республика Калмыкия
RUS_YFO_KRY;Республика Крым
RUS_YFO_KRA;Краснодарский край
RUS_YFO_AST;Астраханская область
RUS_YFO_VOL;Волгоградская область
RUS_YFO_ROS;Ростовская область
RUS_YFO_SEV;Севастополь
RUS_SKO;Северо-Кавказский федеральный округ
RUS_SKO_DAG;Республика Дагестан
RUS_SKO_ING;Республика Ингушетия
RUS_SKO_KBR;Кабардино-Балкарская Республика
RUS_SKO_KCR;Карачаево-Черкесская Республика
RUS_SKO_OSE;Республика Северная Осетия - Алания
RUS_SKO_CHE;Чеченская Республика
RUS_SKO_STA;Ставропольский край
RUS_PFO;Приволжский федеральный округ
RUS_PFO_BAS;Республика Башкортостан
RUS_PFO_MAR;Республика Марий Эл
RUS_PFO_MOR;Республика Мордовия
RUS_PFO_TAT;Республика Татарстан
RUS_PFO_UDM;Удмуртская Республика
RUS_PFO_CHU;Чувашская Республика
RUS_PFO_PER;Пермский край
RUS_PFO_KIR;Кировская область
RUS_PFO_NIZ;Нижегородская область
RUS_PFO_ORE;Оренбургская область
RUS_PFO_PEN;Пензенская область
RUS_PFO_SAM;Самарская область
RUS_PFO_SAR;Саратовская область
RUS_PFO_ULJ;Ульяновская область
RUS_UFO;Уральский федеральный округ
RUS_UFO_KUR;Курганская область
RUS_UFO_SVE;Свердловская область
RUS_UFO_HMA;Ханты-Мансийский автономный округ - Югра
RUS_UFO_JNA;Ямало-Ненецкий автономный округ
RUS_UFO_TIU;Тюменская область
RUS_UFO_CHE;Челябинская область
RUS_SFO;Сибирский федеральный округ
RUS_SFO_ALR;Республика Алтай
RUS_SFO_TYV;Республика Тыва
RUS_SFO_HAK;Республика Хакасия
RUS_SFO_ALK;Алтайский край
RUS_SFO_KRA;Красноярский край
RUS_SFO_IRK;Иркутская область
RUS_SFO_KEM;Кемеровская область - Кузбасс
RUS_SFO_NOV;Новосибирская область
RUS_SFO_OMS;Омская область
RUS_SFO_TOM;Томская область
RUS_DFO;Дальневосточный федеральный округ
RUS_DFO_BUR;Республика Бурятия
RUS_DFO_JAK;Республика Саха (Якутия)
RUS_DFO_ZAB;Забайкальский край
RUS_DFO_KAM;Камчатский край
RUS_DFO_PRI;Приморский край
RUS_DFO_HAB;Хабаровский край
RUS_DFO_AMU;Амурская область
RUS_DFO_MAG;Магаданская область
RUS_DFO_SAH;Сахалинская область
RUS_DFO_EAO;Еврейская автономная область
RUS_DFO_CHU;Чукотский автономный округ
